period_in_office,total_debt,president_name
1883,1884171728.07,Chester A. Arthur
1884,1830528923.57,Chester A. Arthur
1885,1863964873.14,Grover Cleveland
1886,1775063013.78,Grover Cleveland
1887,1657602592.63,Grover Cleveland
1888,1692858984.58,Grover Cleveland
1889,1619052922.23,Benjamin Harrison
1890,1552140204.73,Benjamin Harrison
1891,1545996591.61,Benjamin Harrison
1892,1588464144.63,Benjamin Harrison
1893,1545985686.13,Grover Cleveland
1894,1632253636.68,Grover Cleveland
1895,1676120983.25,Grover Cleveland
1896,1769840323.4,Grover Cleveland
1897,1817672665.9,William Mckinley
1898,1796531995.9,William Mckinley
1899,1991927306.92,William Mckinley
1900,2136961091.67,William Mckinley
1901,2143326933.89,Theodore Roosevelt
1902,2158610445.89,Theodore Roosevelt
1903,2202464781.89,Theodore Roosevelt
1904,2264003585.14,Theodore Roosevelt
1905,2274615063.84,Theodore Roosevelt
1906,2337161839.04,Theodore Roosevelt
1907,2457188061.54,Theodore Roosevelt
1908,2626806271.54,Theodore Roosevelt
1909,2639546241.04,William Howard Taft
1910,2652665838.04,William Howard Taft
1911,2765600606.69,William Howard Taft
1912,2868373874.16,William Howard Taft
1913,2916204913.66,Woodrow Wilson
1914,2912499269.16,Woodrow Wilson
1915,3058136873.16,Woodrow Wilson
1916,3609244262.16,Woodrow Wilson
1917,5717770279.52,Woodrow Wilson
1918,14592161414.0,Woodrow Wilson
1919,27390970113.12,Woodrow Wilson
1920,25952456406.16,Woodrow Wilson
1921,23977450552.54,Warren G. Harding
1922,22963381708.31,Warren G. Harding
1923,22349707365.36,Calvin Coolidge
1924,21250812989.49,Calvin Coolidge
1925,20516193887.9,Calvin Coolidge
1926,19643216315.19,Calvin Coolidge
1927,18511906931.85,Calvin Coolidge
1928,17604293201.43,Calvin Coolidge
1929,16931088484.1,Herbert Hoover
1930,16185309831.43,Herbert Hoover
1931,16801281491.71,Herbert Hoover
1932,19487002444.13,Herbert Hoover
1933,22538672560.15,Franklin D. Roosevelt
1934,27053141414.48,Franklin D. Roosevelt
1935,28700892624.53,Franklin D. Roosevelt
1936,33778543493.73,Franklin D. Roosevelt
1937,36424613732.29,Franklin D. Roosevelt
1938,37164740315.45,Franklin D. Roosevelt
1939,40439532411.11,Franklin D. Roosevelt
1940,42967531037.68,Franklin D. Roosevelt
1941,48961443535.71,Franklin D. Roosevelt
1942,72422445116.22,Franklin D. Roosevelt
1943,136696090329.9,Franklin D. Roosevelt
1944,201003387221.13,Franklin D. Roosevelt
1945,258682187409.93,Harry S. Truman
1946,269422099173.26,Harry S. Truman
1947,258286383108.67,Harry S. Truman
1948,252292246512.99,Harry S. Truman
1949,252770359860.33,Harry S. Truman
1950,257357352351.04,Harry S. Truman
1951,255221976814.93,Harry S. Truman
1952,259105178785.43,Harry S. Truman
1953,266071061638.57,Dwight D. Eisenhower
1954,271259599108.46,Dwight D. Eisenhower
1955,274374222802.62,Dwight D. Eisenhower
1956,272750813649.32,Dwight D. Eisenhower
1957,270527171896.43,Dwight D. Eisenhower
1958,276343217745.81,Dwight D. Eisenhower
1959,284705907078.22,Dwight D. Eisenhower
1960,286330760848.37,Dwight D. Eisenhower
1961,288970938610.05,John F. Kennedy
1962,298200822720.87,John F. Kennedy
1963,305859632996.41,Lyndon B. Johnson
1964,311712899257.3,Lyndon B. Johnson
1965,317273898983.64,Lyndon B. Johnson
1966,319907087795.48,Lyndon B. Johnson
1967,326220937794.54,Lyndon B. Johnson
1968,347578406425.88,Lyndon B. Johnson
1969,353720253841.41,Richard M. Nixon
1970,370918706949.93,Richard M. Nixon
1971,398129744455.54,Richard M. Nixon
1972,427260460940.5,Richard M. Nixon
1973,458141605312.09,Richard M. Nixon
1974,475059815731.55,Gerald R. Ford
1975,533189000000.0,Gerald R. Ford
1976,620433000000.0,Gerald R. Ford
1977,698840000000.0,Jimmy Carter
1978,771544000000.0,Jimmy Carter
1979,826519000000.0,Jimmy Carter
1980,907701000000.0,Jimmy Carter
1981,997855000000.0,Ronald Reagan
1982,1142034000000.0,Ronald Reagan
1983,1377210000000.0,Ronald Reagan
1984,1572266000000.0,Ronald Reagan
1985,1823103000000.0,Ronald Reagan
1986,2125302616658.42,Ronald Reagan
1987,2350276890953.0,Ronald Reagan
1988,2602337712041.16,Ronald Reagan
1989,2857430960187.32,George Bush
1990,3233313451777.25,George Bush
1991,3665303351697.03,George Bush
1992,4064620655521.66,George Bush
1993,4411488883139.38,William J. Clinton
1994,4692749910013.32,William J. Clinton
1995,4973982900709.39,William J. Clinton
1996,5224810939135.73,William J. Clinton
1997,5413146011397.34,William J. Clinton
1998,5526193008897.62,William J. Clinton
1999,5656270901615.43,William J. Clinton
2000,5674178209886.86,William J. Clinton
2001,5807463412200.06,George W. Bush
2002,6228235965597.16,George W. Bush
2003,6783231062743.62,George W. Bush
2004,7379052696330.32,George W. Bush
2005,7932709661723.5,George W. Bush
2006,8506973899215.23,George W. Bush
2007,9007653372262.48,George W. Bush
2008,10024724896912.49,George W. Bush
2009,11909829003511.75,Barack Obama
2010,13561623030891.79,Barack Obama
2011,14790340328557.15,Barack Obama
2012,16066241407385.89,Barack Obama
2013,16738183526697.32,Barack Obama
2014,17824071380733.82,Barack Obama
2015,18150617666484.33,Barack Obama
2016,19573444713936.79,Barack Obama
2017,20244900016053.51,Donald J. Trump
2018,21516058183180.23,Donald J. Trump
2019,22719401753433.78,Donald J. Trump
2020,26945391194615.15,Donald J. Trump
2021,28428918570048.68,Joseph R. Biden Jr.
2022,30928911613306.73,Joseph R. Biden Jr.
2023,33167334044723.16,Joseph R. Biden Jr.
